k,EPE,ENE
0,0,36587.8015453
1,11.6218855802,39070.5188625
2,62.0090126873,41495.1167883
3,144.913535955,43559.1489462
4,276.484871747,45962.1215805
5,371.095643183,48232.0094241
6,1827.88484083,33680.6632895
7,1856.09146443,35876.154552
8,1905.08154629,37854.5157859
9,1776.09478898,40121.8926476
10,1748.3753775,41881.7973598
11,1679.4512582,43845.6483809
12,4540.41379258,30243.9819774
13,4245.88562044,31650.6539045
14,3931.4432453,33577.7569127
15,3588.43431195,35291.437485
16,3405.44034083,37051.7079929
17,3235.40388438,38513.6482421
18,7046.37570941,25847.6439628
19,6580.32820315,27157.3026591
20,5923.95645801,28570.8679891
21,5475.02088032,30019.0282369
22,4897.08543602,31403.379505
23,4495.99519721,33334.8305198
24,8989.94470617,21415.6936376
25,8118.00395226,22774.5891508
26,7405.90925792,24160.7942951
27,6531.84257769,25656.8953013
28,5761.10523701,27204.7850561
29,5067.53209697,28667.2531938
30,10124.5437719,17681.787054
31,9034.07505843,18707.1516027
32,8006.44308835,19910.4961185
33,7095.81992696,21179.8259277
34,5936.00668824,22694.3291993
35,5064.73016431,24444.8338195
36,10450.2829958,14157.9659515
37,9134.34634058,15569.2091047
38,7909.8919491,16922.8211752
39,6755.92349868,18284.4229238
40,5712.85165974,19728.7434838
41,4715.25276249,21236.0231804
42,10317.1240663,11145.9399938
43,8666.01626989,12268.0298655
44,7216.48490526,13590.9319731
45,5727.11002463,14927.8698467
46,4428.10858148,16245.0904781
47,3198.04371537,17931.1262378
48,8624.49196467,7843.48940492
49,6658.82457637,8751.37415283
50,4853.40681407,9912.99860408
51,3282.11849132,11305.6054402
52,2024.80618964,12985.3136412
53,994.710417249,14956.562612
54,5371.61235465,4088.98900274
55,3140.84243027,5007.07065541
56,1334.56490069,6431.84583473
57,268.809316627,8603.68735988
58,3.25328695793,11635.1488712
59,0,14974.3617089
60,0,0
