k,CVA_leg,DVA_leg
0,0,0
1,0.447338360507,3.69906707625
2,1.34087339624,3.51199023514
3,2.32886958332,3.44548728299
4,3.29004690379,3.31094172362
5,4.19852092853,3.17943613988
6,2.63337366107,4.82454006627
7,3.2397160818,4.56628844933
8,3.79615615197,4.34863168106
9,4.47874286063,4.08682319131
10,4.97476461742,3.88560040063
11,5.53554568138,3.66456194701
12,3.49224773554,5.1390860919
13,3.88887588726,4.91198718708
14,4.3613907237,4.61402185848
15,4.71549847996,4.31607920583
16,5.19436923776,4.09330884079
17,5.61384232239,3.91048007962
18,3.56782542241,5.30235904244
19,3.85408604615,5.03275878266
20,4.17068535345,4.72176414836
21,4.42628858309,4.43010136119
22,4.72780736967,4.15311846356
23,5.20668192486,3.86944365406
24,3.25907935747,5.20305466111
25,3.57109836113,4.87434221092
26,3.84564722115,4.55944729113
27,4.11265423254,4.19055811763
28,4.437910382,3.86050824218
29,4.71206790928,3.55131618987
30,2.92293208482,4.80854922468
31,3.06129180074,4.45501311627
32,3.28376395539,4.10801468766
33,3.54287402223,3.79228471616
34,3.85944775074,3.41922326178
35,4.20978457016,3.07107525194
36,2.4542129143,4.20110508469
37,2.73170936892,3.80509498774
38,2.97986807375,3.42904733698
39,3.2841004955,3.09025548337
40,3.62126595592,2.77840076179
41,3.91336660328,2.45080544501
42,2.13783838752,3.51722752947
43,2.34423006384,3.10449494494
44,2.59044650377,2.71545766786
45,2.85913888824,2.33630349837
46,3.07562652808,1.97781847578
47,3.41303998198,1.61498308066
48,1.57735765291,2.5638755746
49,1.75201270372,2.14549249634
50,1.96168522075,1.72635970326
51,2.24551261174,1.34414885185
52,2.55230735907,0.982021383997
53,2.95630730405,0.649489997628
54,0.893108345049,1.42337133804
55,1.04809598395,0.976708666809
56,1.30357453994,0.559285102532
57,1.74994228151,0.217127799932
58,2.61328272603,0.0228637406639
59,3.95473277823,0
60,0,0
TOTAL,194.314862233,194.543002833
