k,phi_DF,phi_EPE,phi_PD_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0
1,0,0.196549428536,0.000602530225444,0.197151958761,2.77555756156e-17
2,0,0.551168805007,0.00444907756586,0.555617882572,0
3,0,-0.426875712695,0.00542124192043,-0.421454470775,0
4,0,-0.500971332884,0.00461869567461,-0.496352637209,0
5,0,-0.468976896424,0.00481697733923,-0.464159919085,0
6,0,1.99344461164,-0.00178659050889,1.99165802113,2.22044604925e-16
7,0,2.1102154543,-0.00739085372992,2.10282460057,0
8,0,2.44481281142,0.000397917061213,2.44521072848,0
9,0,-0.433725555994,-0.0013276634442,-0.435053219438,0
10,0,-0.323465523491,-0.00687956797284,-0.330345091464,0
11,0,-0.381735236419,-0.00960739689174,-0.391342633311,0
12,0,2.18542861857,-0.0243571014552,2.16107151711,-4.4408920985e-16
13,0,2.39347146566,-0.0251914217847,2.36828004388,4.4408920985e-16
14,0,2.40751785544,-0.0110864846389,2.3964313708,0
15,0,-0.325039636494,-0.0108380952458,-0.33587773174,0
16,0,-0.456863845117,-0.0244791332259,-0.481342978343,0
17,0,-0.483623220259,-0.0325597434894,-0.516182963748,0
18,0,1.91204578394,-0.0224787045645,1.88956707938,-2.22044604925e-16
19,0,2.029708602,-0.0215959761735,2.00811262583,-4.4408920985e-16
20,0,2.07168643352,-0.0103303375148,2.06135609601,0
21,0,-0.365624895531,0.00936811310669,-0.356256782424,0
22,0,-0.41603353635,0.0102569835987,-0.405776552751,0
23,0,-0.610288045611,-0.00910734440174,-0.619395390013,0
24,0,1.52303228502,-0.0101781429488,1.51285414207,0
25,0,1.5524096484,-0.0159496572653,1.53645999114,0
26,0,1.66229109522,-0.0219655136218,1.6403255816,2.22044604925e-16
27,0,-0.641376250838,-0.0099850937292,-0.651361344568,0
28,0,-0.631631051819,-0.00752843167005,-0.639159483489,0
29,0,-0.670401252101,-0.00395605720555,-0.674357309306,0
30,0,1.42417289718,0.00113347546826,1.42530637265,0
31,0,1.64849276995,-5.47419143857e-05,1.64843802804,0
32,0,1.72885332307,-0.00822508583234,1.72062823723,0
33,0,-0.497974256757,-0.00969333297103,-0.507667589728,0
34,0,-0.590464414222,-0.00533643770924,-0.595800851931,0
35,0,-0.766022360927,-0.000343980969634,-0.766366341897,1.11022302463e-16
36,0,1.25982263191,-0.00631148106018,1.25351115085,0
37,0,1.26719564816,-0.00458895251386,1.26260669565,0
38,0,1.31865822451,0.0111320860135,1.32979031053,0
39,0,-0.928824054055,0.00769756424815,-0.921126489806,0
40,0,-1.04365521359,-0.000773375453912,-1.04442858905,0
41,0,-1.11701190993,-0.0045384818097,-1.12155039174,0
42,0,0.896949593872,0.00236514988898,0.899314743761,1.11022302463e-16
43,0,0.959994604169,0.0136407820412,0.973635386211,1.11022302463e-16
44,0,1.064326181,0.0283991641412,1.09272534514,0
45,0,-1.18934903609,0.0300626109509,-1.15928642514,0
46,0,-1.254035195,0.0389719844873,-1.21506321051,-2.22044604925e-16
47,0,-1.39454126383,0.0418901828862,-1.35265108095,0
48,0,0.756540224256,0.0246721358535,0.781212360109,0
49,0,0.975497591103,0.0292675855154,1.00476517662,0
50,0,1.20497745042,0.0292302576027,1.23420770803,0
51,0,-1.29394479321,0.0163834768988,-1.27756131631,-2.22044604925e-16
52,0,-1.42977717127,0.0190670689166,-1.41071010235,0
53,0,-1.55997679495,0.0207926216258,-1.53918417332,4.4408920985e-16
54,0,1.01166169976,0.0151089458956,1.02677064566,2.22044604925e-16
55,0,1.70696871304,0.0239806517825,1.73094936482,0
56,0,2.75892017099,0.0335908781843,2.79251104917,0
57,0,-1.75778737429,0.00784509278271,-1.74994228151,0
58,0,-2.61852598176,0.00524325573321,-2.61328272603,0
59,0,-3.95354435943,-0.00118841880354,-3.95473277823,0
60,0,0,0,0,0
TOTAL,0,16.4847484507,0.110772906888,16.5955213576,3.60822483003e-16
