k,PD_cpty,S_cpty
0,0,1
1,0.0024917273936,0.997508272606
2,0.00249055747256,0.995017715134
3,0.00248864403516,0.992529071099
4,0.0024857763553,0.990043294743
5,0.00248232695117,0.987560967792
6,0.00247583642661,0.985085131366
7,0.00246761594379,0.982617515422
8,0.00246150926228,0.98015600616
9,0.00245495020153,0.977701055958
10,0.00244514542496,0.975255910533
11,0.00243617277072,0.972819737762
12,0.00243038047611,0.970389357286
13,0.00242743623362,0.967961921053
14,0.00242200261716,0.965539918435
15,0.00241500233677,0.963124916099
16,0.00241035734106,0.960714558758
17,0.00240520265678,0.958309356101
18,0.0024026479235,0.955906708177
19,0.00239793253879,0.953508775639
20,0.00239006729517,0.951118708343
21,0.00238354807047,0.948735160273
22,0.00237737338409,0.946357786889
23,0.00237462955331,0.943983157335
24,0.00237276872828,0.941610388607
25,0.00236546191058,0.939244926697
26,0.00235449221381,0.936890434483
27,0.00234689930362,0.934543535179
28,0.00233993714959,0.93220359803
29,0.00233021514582,0.929873382884
30,0.00232387768644,0.927549505197
31,0.00231736395284,0.925232141245
32,0.00230896221259,0.922923179032
33,0.00230438276933,0.920618796263
34,0.00229941527132,0.918319380991
35,0.00229246831982,0.916026912671
36,0.00228337833452,0.913743534337
37,0.00227340261156,0.911470131725
38,0.00226711067876,0.909203021047
39,0.00226368940591,0.906939331641
40,0.00225915672942,0.904680174911
41,0.00225159373346,0.902428581178
42,0.00224407979206,0.900184501386
43,0.00223850218465,0.897945999201
44,0.00223438019901,0.895711619002
45,0.0022282516402,0.893483367362
46,0.0022169913273,0.891266376035
47,0.00220587579705,0.889060500238
48,0.00219684924431,0.886863650993
49,0.00219048457967,0.884673166414
50,0.00218715046041,0.882486015953
51,0.00218276295819,0.880303252995
52,0.00217547347222,0.878127779523
53,0.00216618722289,0.8759615923
54,0.00215988994945,0.87380170235
55,0.00215610892784,0.871645593423
56,0.00215250247145,0.869493090951
57,0.00215101917398,0.867342071777
58,0.00214760523337,0.865194466544
59,0.00214099822215,0.863053468322
60,0.00213412295375,0.860919345368
