k,phi_DF,phi_ENE,phi_PD_bank,phi_S_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0,0
1,0,-0.00536700629208,-7.279070057e-09,0,-0.00536701357115,-1.73472347598e-18
2,0,-0.0120078754074,-3.62025998525e-06,1.68403775333e-07,-0.0120113272636,1.73472347598e-18
3,0,0.212971394428,0.000209520299748,3.02499708818e-06,0.213183939724,-5.55111512313e-17
4,0,0.254478840674,0.0002576574791,7.63534266966e-06,0.254744133496,1.11022302463e-16
5,0,0.262205939449,-0.000115724790948,1.24973213672e-05,0.262102711979,1.11022302463e-16
6,0,-0.674106309882,0.000157753820813,3.13737496136e-05,-0.673917182311,1.11022302463e-16
7,0,-0.672808103899,0.00147790593798,3.1707408428e-05,-0.671298490553,0
8,0,-0.6800442494,0.00283474133997,4.06030060653e-05,-0.677168905054,1.11022302463e-16
9,0,0.695490168651,0.00435022907278,9.02210213747e-05,0.699930618745,0
10,0,0.672768405494,0.00470471874524,9.56309564245e-05,0.677568755196,-4.4408920985e-16
11,0,0.586879680295,0.00677239226435,7.7460659053e-05,0.593729533218,-1.11022302463e-16
12,0,-1.35692416344,0.0117492191251,9.79495316442e-05,-1.34507699478,4.4408920985e-16
13,0,-1.2904304946,0.00929565419265,6.19805296979e-05,-1.28107285988,0
14,0,-1.14084471159,0.00799031010081,3.24727415855e-05,-1.13282192875,-4.4408920985e-16
15,0,0.911962132744,0.00934650910524,-5.24575881267e-06,0.92130339609,-1.11022302463e-16
16,0,0.745088250464,0.00454827995122,-7.45226053838e-05,0.74956200781,2.22044604925e-16
17,0,0.591681515113,0.00478423018474,-0.000136465443572,0.596329279854,-2.22044604925e-16
18,0,-1.88998707441,0.00915019674277,-0.000295734951747,-1.88113261262,4.4408920985e-16
19,0,-1.84797280278,0.0069207141504,-0.000332554894162,-1.84138464352,0
20,0,-1.60941384122,0.0104883512071,-0.000337263238285,-1.59926275325,0
21,0,1.07974540387,0.0215593107919,-0.000496021349666,1.10080869331,0
22,0,0.994735167227,0.0178043467266,-0.000440219423019,1.01209929453,2.22044604925e-16
23,0,0.878877545997,0.0154946320278,-0.000376058075662,0.893996119949,-1.11022302463e-16
24,0,-2.0840076845,0.0237863655278,-0.000463382998948,-2.06068470197,-4.4408920985e-16
25,0,-1.91783710888,0.0188945347442,-0.000362435993006,-1.89930501012,-2.22044604925e-16
26,0,-1.85836732685,0.0138658279389,-0.000287563783583,-1.8447890627,0
27,0,1.28658969164,0.0188746861858,-0.000355154834702,1.30510922299,0
28,0,1.15540855158,0.0227963555466,-0.000317543268764,1.17788736385,2.22044604925e-16
29,0,0.994351967149,0.020188161337,-0.000268178312129,1.01427195017,2.22044604925e-16
30,0,-2.37444407273,0.0153393737799,-0.000335175912808,-2.35943987487,1.33226762955e-15
31,0,-2.21026580785,0.00279231219,-0.000294463540746,-2.2077679592,4.4408920985e-16
32,0,-2.04510418093,-0.00337810291158,-0.000286338346165,-2.04876862219,0
33,0,1.35406556356,-0.0143976486057,-0.000440876164886,1.33922703879,2.22044604925e-16
34,0,1.33202484739,-0.021936627411,-0.000396679582918,1.30969154039,0
35,0,1.20439612148,-0.0145513512974,-0.000338448566144,1.18950632161,0
36,0,-2.34416566744,-0.00786332583793,-0.000435404920811,-2.3524643982,-8.881784197e-16
37,0,-2.24068643596,-0.00171814474025,-0.000333393819157,-2.24273797452,0
38,0,-2.10911014333,0.00176627504334,-0.000253780631547,-2.10759764892,0
39,0,1.36540392989,-0.00124665004078,-0.000362617149604,1.3637946627,-2.22044604925e-16
40,0,1.16180226988,-0.0103567934681,-0.000349034849683,1.15109644156,2.22044604925e-16
41,0,0.886848173669,-0.0121377292691,-0.000331511052699,0.874378933347,0
42,0,-2.74284958349,-0.0172730343385,-0.000571425296344,-2.76069404313,0
43,0,-2.47049354485,-0.0137943917908,-0.000585355601758,-2.48487329224,4.4408920985e-16
44,0,-2.23540168535,-0.0110028149139,-0.000558777611955,-2.24696327788,8.881784197e-16
45,0,1.19021628994,-0.0209704759006,-0.000868912351194,1.16837690169,-6.66133814775e-16
46,0,0.911981431266,-0.0178112635985,-0.000731237019256,0.893438930648,2.22044604925e-16
47,0,0.704951500962,-0.0127963773947,-0.000554912237157,0.69160021133,-2.22044604925e-16
48,0,-2.77973488051,-0.0210798526975,-0.000843258342128,-2.80165799155,-4.4408920985e-16
49,0,-2.37451099132,-0.0190462098206,-0.000617682828712,-2.39417488397,8.881784197e-16
50,0,-1.94125284149,-0.00989868181303,-0.000427992961172,-1.95157951627,0
51,0,0.916585179906,-0.00979554743876,-0.000644862551039,0.906144769917,1.11022302463e-16
52,0,0.487719856133,-0.00589364543629,-0.000412029487463,0.48141418121,1.11022302463e-16
53,0,0.137164076193,-0.00203647926577,-0.000197583925489,0.134930013002,2.77555756156e-17
54,0,-2.50462867199,-0.00483700225169,-0.000514983668264,-2.50998065791,-4.4408920985e-16
55,0,-1.52434074176,-0.00250464501426,-0.000300532660446,-1.52714591943,2.22044604925e-16
56,0,-0.64369798152,-0.00092841921605,-0.000128790313022,-0.644755191049,-1.11022302463e-16
57,0,-0.128827752134,-0.000210601443808,-2.53512061064e-05,-0.129063704784,0
58,0,-0.00154996443238,-3.49858863961e-06,-3.01141302974e-07,-0.00155376416233,-6.50521303491e-19
59,0,0,0,0,0,0
60,0,0,0,0,0,0
TOTAL,0,-26.7347898052,0.0306118987248,-0.0161073330026,-26.7202852395,2.19203995233e-15
